2018-09-16T07:10:31.627Z - info: Website generation started at 15:10:17
2018-09-16T07:11:25.623Z - info: Building assets...
2018-09-16T07:11:43.260Z - info: Assets built
2018-09-16T07:11:43.261Z - info: Generating pages...
2018-09-16T07:12:57.042Z - info: Pages built
2018-09-16T07:12:57.676Z - info: Site data built
2018-09-16T07:12:57.677Z - info: Website generation complete! Total build time: 160.018s
2018-09-16T07:12:57.686Z - info: Generate Site durationMs=160026
2018-09-16T07:12:58.251Z - info: Serving "C:\repos\nus-tic2002-2018\website\_site" at http://127.0.0.1:8080
2018-09-16T07:12:58.252Z - info: Press CTRL+C to stop ...
2018-09-16T08:29:10.395Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\inheritance\abstractClassesAndMethods\text.md
2018-09-16T08:29:10.395Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\inheritance\interfaces\text.md
2018-09-16T08:29:10.396Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\exceptions\text.md
2018-09-16T08:29:10.396Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\exceptions\what\text.md
2018-09-16T08:29:10.396Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\generics\text.md
2018-09-16T08:29:10.396Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\generics\what\text.md
2018-09-16T08:29:10.396Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\generics\how\text.md
2018-09-16T08:29:10.396Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\collections\what\text.md
2018-09-16T08:29:10.397Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\misc\accessModifiers\text.md
2018-09-16T08:29:10.397Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\book\cppToJava\misc\casting\text.md
2018-09-16T08:29:10.397Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\se-book-adapted\print.md
2018-09-16T08:29:10.469Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\schedule\week6\todo.md
2018-09-16T08:29:10.470Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\schedule\week6\tutorial.md
2018-09-16T08:29:10.470Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\schedule\week6\lecture.md
2018-09-16T08:29:10.470Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\_markbind\navigation\se-book-adapted-sitenav.md
2018-09-16T08:29:10.470Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\_markbind\footers\footer.md
2018-09-16T08:29:10.471Z - info: [16:29:10] Reload for file change: C:\repos\nus-tic2002-2018\website\common\header-flat.md
